"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","73.3mm","-109.8mm","top","180.0"
"C3","82mm","-106mm","top","0.0"
"J6","142mm","-86mm","top","180.0"
"U1","81.3mm","-112.85mm","top","90.0"
"Y1","52.9mm","-71mm","top","-90.0"
"J7","142mm","-75.9mm","top","180.0"
"J8","142.1mm","-66.3mm","top","180.0"
"J9","142.1mm","-56.6mm","top","180.0"
"J10","142.1mm","-46.9mm","top","180.0"
"U2","67.6mm","-75.1mm","top","270.0"
"J5","142mm","-95.8mm","top","180.0"
"J3","142mm","-115.5mm","top","180.0"
"J4","142mm","-105.8mm","top","180.0"
"C9","47.2mm","-75.9mm","top","180.0"
"C5","47.15mm","-71.15mm","top","180.0"
"D3","85.9mm","-98.7mm","top","90.0"
"D4","74.6mm","-98.7mm","top","90.0"
"R3","82.7mm","-98.7mm","top","90.0"
"R4","77.9mm","-98.6875mm","top","90.0"
"J1","53.7075mm","-99.1mm","top","180.0"
"J2","115.6mm","-40.3mm","top","-90.0"
